species,annulus cells,basal cells
P. interjectum,8,2
P. interjectum,8,2
P. interjectum,9,3
P. interjectum,7,2
P. interjectum,8,2
P. interjectum,8,2
P. interjectum,8,2
P. interjectum,12,2
P. interjectum,7,2
P. interjectum,7,2
P. interjectum,12,1
P. interjectum,13,1
P. interjectum,8,2
P. interjectum,9,1
P. interjectum,8,3
P. interjectum,6,1
P. interjectum,6,2
P. interjectum,9,2
P. interjectum,11,1
P. interjectum,10,1
P. interjectum,8,1
P. interjectum,5,1
P. interjectum,7,1
P. interjectum,7,1
P. interjectum,8,1
P. interjectum,7,2
P. interjectum,8,2
P. interjectum,9,1
P. interjectum,9,2
P. interjectum,6,2
P. interjectum,8,2
P. interjectum,10,1
P. interjectum,11,1
P. interjectum,11,1
P. interjectum,10,1
P. interjectum,11,1
P. interjectum,11,1
P. interjectum,13,1
P. interjectum,12,1
P. interjectum,12,1
P. interjectum,10,1
P. interjectum,13,1
P. interjectum,10,1
P. interjectum,14,1
P. interjectum,12,1
P. interjectum,13,1
P. interjectum,10,2
P. interjectum,11,1
P. interjectum,12,2
P. interjectum,14,1
P. interjectum,12,1
P. interjectum,12,1
P. interjectum,12,1
P. vulgare,13,2
P. vulgare,12,3
P. vulgare,15,3
P. vulgare,13,2
P. vulgare,13,2
P. vulgare,9,3
P. vulgare,9,2
P. vulgare,9,2
P. vulgare,9,3
P. vulgare,10,3
P. vulgare,10,3
P. vulgare,15,2
P. vulgare,13,3
P. vulgare,12,3
P. vulgare,12,2
P. vulgare,12,3
P. vulgare,14,3
P. vulgare,12,2
P. vulgare,15,3
P. vulgare,12,3
P. vulgare,11,2
P. vulgare,14,3
P. vulgare,9,2
P. vulgare,12,3
P. vulgare,12,3
P. vulgare,9,4
P. vulgare,11,3
P. vulgare,6,3
P. vulgare,15,3
P. vulgare,13,3
P. vulgare,18,3
P. vulgare,14,3
P. vulgare,14,2
P. vulgare,8,3
P. vulgare,8,2
P. vulgare,8,2
P. vulgare,8,1
P. vulgare,11,2
P. vulgare,13,2
P. vulgare,12,2
P. vulgare,12,1
P. vulgare,13,2
P. vulgare,14,2
P. vulgare,11,2
P. vulgare,12,3
P. vulgare,8,3
P. vulgare,12,3
P. vulgare,12,2
P. vulgare,12,3
P. vulgare,11,3
P. vulgare,12,3
P. vulgare,12,3
P. vulgare,12,3
P. vulgare,10,4
P. vulgare,11,3
P. vulgare,17,3
P. vulgare,13,2
P. vulgare,13,3
P. vulgare,12,2
P. vulgare,14,4
P. vulgare,14,3
P. vulgare,13,2
P. vulgare,13,2
P. vulgare,12,2
P. vulgare,12,2
P. vulgare,12,2
P. vulgare,12,3
P. vulgare,11,2
P. vulgare,12,3
P. vulgare,12,2
P. vulgare,13,4
P. vulgare,12,3
P. vulgare,15,3
P. vulgare,15,2
P. vulgare,12,3
P. vulgare,14,3
P. vulgare,14,3
P. vulgare,14,3
